Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,MSRP
All-In-Wonder X1900,R580,"Jan 13th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,477 MHz,48 / 8 / 16 / 16,499
Wii GPU,Hollywood,"Nov 19th, 2006",IGP,"64 MB, GDDR3, 64 bit",243 MHz,243 MHz,4 / 1 / 4 / 4,
Parhelia APVe,Parhelia-512,"Jun 14th, 2006",PCIe 1.0 x16,"128 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 2 / 8 / 2,
GeForce 7300 GT AGP,G73B,"May 15th, 2006",AGP 8x,"128 MB, DDR2, 128 bit",350 MHz,325 MHz,8 / 4 / 8 / 8,
GeForce 7600 GS AGP,G73B,"Jul 1st, 2006",AGP 8x,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8,
GeForce 7600 GS AGP,G71,"Jul 1st, 2006",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,725 MHz,12 / 5 / 12 / 8,
GeForce 7800 GS AGP,G70,"Feb 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",375 MHz,600 MHz,16 / 6 / 16 / 8,
GeForce 7800 GS 20Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,20 / 7 / 20 / 16,
GeForce 7800 GS 24Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,24 / 8 / 24 / 16,
GeForce 7800 GS+ AGP,G71,"Sep 28th, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",375 MHz,600 MHz,16 / 6 / 16 / 8,
GeForce 7800 GS+ 20Pipes AGP,G71,"Sep 28th, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,20 / 7 / 20 / 16,
GeForce 7800 GS+ 24Pipes AGP,G71,"Sep 28th, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,24 / 8 / 24 / 16,
GeForce 7900 GS AGP,G71,"Apr 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16,
GeForce 7100 GS,NV44B,"Aug 8th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",350 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 7200 GS,G72,"Jan 18th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,334 MHz,2 / 2 / 4 / 2,
GeForce 7300 SE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 7300 GS,G72,"Jan 18th, 2006",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 7300 GS Low Profile,G72,"Jan 18th, 2006",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 7300 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,324 MHz,4 / 3 / 4 / 2,
GeForce 7300 GT,G73,"May 15th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",350 MHz,325 MHz,8 / 4 / 8 / 8,
GeForce 7300 GT,G73B,"May 15th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",350 MHz,325 MHz,8 / 4 / 8 / 8,
GeForce 7300 GT Mac Edition,G73,"Aug 26th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",350 MHz,500 MHz,8 / 4 / 8 / 8,
GeForce 7350 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,400 MHz,4 / 3 / 4 / 2,
GeForce 7500 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"64 MB, DDR2, 64 bit",475 MHz,405 MHz,8 / 5 / 8 / 4,
GeForce 7600 LE,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,8 / 4 / 8 / 8,
GeForce 7600 GS,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8,
GeForce 7600 GT Mac Edition,G73,"Sep 2nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,
GeForce 7600 GT Mac Edition,G73B,"Sep 2nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,
GeForce 7600 GT,G73B,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,199
GeForce 7650 GS,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",450 MHz,400 MHz,12 / 5 / 12 / 8,
GeForce 7900 GS,G71,"May 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16,259
GeForce 7900 GT,G71,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,24 / 8 / 24 / 16,
GeForce 7900 GTO,G71,"Oct 1st, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,660 MHz,24 / 8 / 24 / 16,
GeForce 7900 GTX,G71,"Mar 9th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,800 MHz,24 / 8 / 24 / 16,
GeForce 7900 GX2,G71,"Apr 30th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,599
GeForce 7950 GT,G71,"Aug 6th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",550 MHz,700 MHz,24 / 8 / 24 / 16,
GeForce 7950 GX2,G71,"Jun 5th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,599
GeForce 8800 GTS 640,G80,"Nov 8th, 2006",PCIe 1.0 x16,"640 MB, GDDR3, 320 bit",513 MHz,792 MHz,96 / 24 / 20,449
GeForce 8800 GTX,G80,"Nov 8th, 2006",PCIe 1.0 x16,"768 MB, GDDR3, 384 bit",576 MHz,900 MHz,128 / 32 / 24,599
Playstation 3 GPU 90nm,RSX-90nm,"Nov 11th, 2006",IGP,"256 MB, GDDR3, 128 bit",550 MHz,650 MHz,24 / 8 / 24 / 8,
Radeon X550 XT,RV410,"Jan 24th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,300 MHz,4 / 6 / 4 / 4,
Radeon X550 XTX,RV410,"Jan 24th, 2007",PCIe 1.0 x16,"128 MB, DDR, 64 bit",400 MHz,300 MHz,8 / 6 / 8 / 8,
Radeon X800 GT AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",473 MHz,493 MHz,8 / 6 / 8 / 8,
Radeon X800 GTO AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,12 / 6 / 12 / 12,
Radeon X800 GTO,R423,"Dec 29th, 2007",PCIe 1.0 x16,"128 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12,
Radeon X1050 AGP,RV360,"Nov 25th, 2007",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,203 MHz,4 / 2 / 4 / 4,
Radeon X1550 AGP,RV505,2007,AGP 8x,"256 MB, DDR2, 64 bit",600 MHz,330 MHz,4 / 2 / 4 / 4,
Radeon X1550 PCI,RV516,2007,PCI,"256 MB, DDR2, 64 bit",452 MHz,266 MHz,4 / 2 / 4 / 4,
Radeon X1550,RV505,2007,PCIe 1.0 x16,"128 MB, DDR2, 64 bit",500 MHz,333 MHz,4 / 2 / 4 / 4,
Radeon X1550,RV516,2007,PCIe 1.0 x16,"256 MB, DDR2, 128 bit",550 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1550,RV515,2007,PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1600 PRO AGP,RV530,"Oct 1st, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,390 MHz,12 / 5 / 4 / 4,
Radeon X1600 SE,RV515,2007,PCIe 1.0 x16,"256 MB, DDR, 128 bit",635 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1600,RV516,2007,PCIe 1.0 x16,"512 MB, DDR2, 128 bit",635 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1600 XT Dual,RV530,Never Released,PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",590 MHz,690 MHz,12 / 5 / 4 / 4,
Radeon X1650 AGP,RV530,"Feb 1st, 2007",AGP 8x,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,12 / 5 / 4 / 4,
Radeon X1650,RV516,"Nov 20th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",635 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1650 SE,RV516,2007,PCIe 1.0 x16,"512 MB, DDR2, 128 bit",635 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1650 SE,RV515,2007,PCIe 1.0 x16,"512 MB, DDR2, 128 bit",635 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1650,RV530,"Feb 1st, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,12 / 5 / 4 / 4,
Radeon X1650 PRO,RV530,"Feb 1st, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,12 / 5 / 4 / 4,
Radeon X1650 GTO,RV530,"Dec 2nd, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",587 MHz,392 MHz,12 / 5 / 4 / 4,
Radeon X1650 GT,RV560,"May 1st, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,400 MHz,24 / 8 / 8 / 8,
Radeon X1700 FSC,RV535,"Nov 5th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",587 MHz,695 MHz,12 / 5 / 4 / 4,
Radeon X1700 SE,RV560,"Nov 30th, 2007",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",500 MHz,500 MHz,24 / 8 / 8 / 8,
Radeon X1950 GT AGP,RV570,"Feb 10th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",500 MHz,600 MHz,36 / 8 / 12 / 12,
Radeon X1950 GT,RV570,"Jan 29th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,600 MHz,36 / 8 / 12 / 12,140
Radeon X1950 PRO DUAL,RV570,"Jan 10th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",575 MHz,690 MHz,36 / 8 / 12 / 12,349
Radeon X1950 XTX Uber Edition,R580+,"Jan 19th, 2007",PCIe 1.0 x16,"512 MB, GDDR4, 256 bit",670 MHz,1050 MHz,48 / 8 / 16 / 16,788
Radeon HD 2350 PRO,RV610,2007,PCIe 1.0 x16,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,
Radeon HD 2400 PRO PCI,RV610,"Jun 28th, 2007",PCI,"512 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,
Radeon HD 2400 PRO AGP,RV610,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,
Radeon HD 2400 PRO,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,
Radeon HD 2400 XT,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",650 MHz,500 MHz,40 / 4 / 4,
Radeon HD 2600 PRO AGP,RV630,"Jun 28th, 2007",AGP 8x,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,
Radeon HD 2600 PRO,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4,
Radeon HD 2600 XT AGP,RV635,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 128 bit",722 MHz,405 MHz,120 / 8 / 4,
Radeon HD 2600 XT AGP,RV630,"Jun 28th, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4,
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",800 MHz,700 MHz,120 / 8 / 4,199
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4,199
Radeon HD 2600 XT X2,RV630,"Jul 26th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4,
Radeon HD 2900 GT,R600,"Nov 6th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",601 MHz,800 MHz,240 / 12 / 12,
Radeon HD 2900 PRO,R600,"Dec 12th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16,
Radeon HD 2900 XT,R600,"May 14th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 512 bit",743 MHz,828 MHz,320 / 16 / 16,399
Radeon HD 2900 XTX,R600,Never Released,PCIe 1.0 x16,"512 MB, GDDR3, 512 bit",743 MHz,828 MHz,320 / 16 / 16,
Radeon HD 2950 PRO,RV670,Never Released,PCIe 2.0 x16,"256 MB, GDDR3, 256 bit",600 MHz,600 MHz,320 / 16 / 16,
Radeon HD 2950 XTX,RV670,Never Released,PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,
Radeon HD 3450,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,
Radeon HD 3450 X2,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,
Radeon HD 3850,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",668 MHz,830 MHz,320 / 16 / 16,179
Radeon HD 3870 AGP,RV670,Never Released,AGP 8x,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,
Radeon HD 3870,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,269
Xbox 360 GPU 80nm,Xenos Falcon,"Oct 27th, 2007",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,
GeForce 7600 GT AGP,G73B,"Jan 8th, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,
GeForce 7950 GT AGP,G71,"Apr 2nd, 2007",AGP 8x,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,
GeForce 8300 GS,G86S,"Apr 17th, 2007",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",459 MHz,400 MHz,8/8/2004,
GeForce 8400 GS PCI,G98S,"Dec 4th, 2007",PCI,"512 MB, DDR2, 64 bit",567 MHz,333 MHz,8/4/2004,
GeForce 8400 GS PCI Rev. 2,GT218S,"Apr 17th, 2007",PCI,"512 MB, DDR3, 64 bit",520 MHz,500 MHz,16 / 8 / 4,
GeForce 8400,G98S,"Dec 4th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,500 MHz,8/4/2004,
GeForce 8400 GS Rev. 2,G98S,"Dec 4th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",567 MHz,400 MHz,8/4/2004,
GeForce 8400 GS,G86S,"Apr 17th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",459 MHz,400 MHz,16 / 8 / 4,
GeForce 8500 GT,G86,"Apr 17th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",459 MHz,400 MHz,16 / 8 / 4,129
GeForce 8600 GS,G84,"Apr 17th, 2007",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",540 MHz,400 MHz,16 / 8 / 8,
GeForce 8600 GT,G84,"Apr 17th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",540 MHz,700 MHz,32 / 16 / 8,159
GeForce 8600 GT Mac Edition,G84,"Apr 17th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",600 MHz,750 MHz,32 / 16 / 8,
GeForce 8600 GTS,G84,"Apr 17th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",675 MHz,1000 MHz,32 / 16 / 8,199
GeForce 8600 GTS Mac Edition,G84,"Sep 21st, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",675 MHz,1008 MHz,32 / 16 / 8,
GeForce 8800 GT,G92,"Oct 29th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16,349
GeForce 8800 GTS 320,G80,"Feb 12th, 2007",PCIe 1.0 x16,"320 MB, GDDR3, 320 bit",513 MHz,792 MHz,96 / 24 / 20,269
GeForce 8800 GTS 512,G92,"Dec 11th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,820 MHz,128 / 64 / 16,349
GeForce 8800 GTS Core 112,G80,"Nov 19th, 2007",PCIe 1.0 x16,"640 MB, GDDR3, 320 bit",500 MHz,800 MHz,112 / 28 / 20,
GeForce 8800 Ultra,G80,"May 2nd, 2007",PCIe 1.0 x16,"768 MB, GDDR3, 384 bit",612 MHz,1080 MHz,128 / 32 / 24,829
Playstation Portable GPU 65nm,RE+SE-65nm,"Aug 30th, 2007",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5,
Playstation 2 GPU 65nm,EE+GS-65nm,"Jul 1st, 2007",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16,
Radeon X1050,RV410,"Jan 25th, 2008",PCIe 1.0 x16,"128 MB, DDR, 64 bit",400 MHz,200 MHz,8 / 6 / 8 / 8,
Radeon HD 2400,RV610,"Feb 19th, 2008",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",398 MHz,495 MHz,40 / 4 / 4,
Radeon HD 2600 XT Mac Edition,RV630,"Feb 21st, 2008",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",700 MHz,800 MHz,120 / 8 / 4,
Radeon HD 3450 PCI,RV620,"Jan 23rd, 2008",PCI,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4,
Radeon HD 3450 AGP,RV620,"Jan 23rd, 2008",AGP 8x,"512 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,
Radeon HD 3470,RV620,"Jan 23rd, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",800 MHz,950 MHz,40 / 4 / 4,
Radeon HD 3550,RV620,"Aug 4th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",594 MHz,396 MHz,40 / 4 / 4,
Radeon HD 3650 AGP,RV635,"Jan 23rd, 2008",AGP 8x,"512 MB, DDR2, 128 bit",725 MHz,500 MHz,120 / 8 / 4,
Radeon HD 3650,RV635,"Jan 20th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",725 MHz,800 MHz,120 / 8 / 4,
Radeon HD 3690,RV670,"Mar 30th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",670 MHz,830 MHz,320 / 16 / 16,
Radeon HD 3730,RV635,"Oct 5th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",722 MHz,396 MHz,120 / 8 / 4,
Radeon HD 3750,RV635,"Sep 11th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",796 MHz,693 MHz,120 / 8 / 4,
Radeon HD 3830,RV670,"Apr 1st, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",668 MHz,828 MHz,320 / 16 / 16,
Radeon HD 3850 AGP,RV670,"Jan 3rd, 2008",AGP 8x,"512 MB, GDDR3, 256 bit",668 MHz,828 MHz,320 / 16 / 16,
Radeon HD 3850 X2,RV670,"Apr 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",669 MHz,828 MHz,320 / 16 / 16,349
Radeon HD 3850 X3,RV670,Never Released,PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",669 MHz,850 MHz,320 / 16 / 16,
Radeon HD 3870 Mac Edition,RV670,"Jun 12th, 2008",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,
Radeon HD 3870 X2,R680,"Jan 26th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",825 MHz,901 MHz,320 / 16 / 16,449
Radeon HD 4350 PCI,RV710,"Sep 30th, 2008",PCI,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,
Radeon HD 4350 AGP,RV710,"Sep 30th, 2008",AGP 8x,"512 MB, DDR3, 64 bit",600 MHz,650 MHz,80 / 8 / 4,
Radeon HD 4350 PCIe x1,RV710,"Sep 30th, 2008",PCIe 2.0 x1,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,
Radeon HD 4350,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",600 MHz,400 MHz,80 / 8 / 4,
Radeon HD 4550,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,655 MHz,80 / 8 / 4,59
Radeon HD 4570,RV710,"Nov 25th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",650 MHz,500 MHz,80 / 8 / 4,
Radeon HD 4650 AGP,RV730,"Sep 10th, 2008",AGP 8x,"512 MB, DDR2, 128 bit",600 MHz,400 MHz,320 / 32 / 8,
Radeon HD 4650,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,
Radeon HD 4670,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,1000 MHz,320 / 32 / 8,67
Radeon HD 4670 X2,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,700 MHz,320 / 32 / 8,
Radeon HD 4710,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",750 MHz,800 MHz,320 / 32 / 8,
Radeon HD 4730 OEM,RV670,"Dec 26th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 256 bit",669 MHz,396 MHz,320 / 16 / 16,
Radeon HD 4830,RV770,"Oct 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",575 MHz,900 MHz,640 / 32 / 16,130
Radeon HD 4850,RV770,"Jun 25th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,993 MHz,800 / 40 / 16,199
Radeon HD 4870,RV770,"Jun 25th, 2008",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,299
Radeon HD 4850 X2,R700,"Nov 7th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,995 MHz,800 / 40 / 16,420
Radeon HD 4870 X2,R700,"Aug 12th, 2008",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,550
All-In-Wonder HD 3650,RV635,"Jun 28th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",725 MHz,600 MHz,120 / 8 / 4,
Xbox 360 GPU 65nm,Xenos Jasper,"Aug 1st, 2008",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,
GeForce 6200 PCI,NV44,"Jan 16th, 2008",PCI,"256 MB, DDR2, 64 bit",280 MHz,200 MHz,4 / 3 / 4 / 2,
GeForce 6200 X2 PCI,NV44,"Jan 16th, 2008",PCI,"256 MB, DDR2, 64 bit",280 MHz,200 MHz,4 / 3 / 4 / 2,
GeForce 8400 SE,G86S,"Aug 1st, 2008",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",459 MHz,400 MHz,16 / 8 / 4,
GeForce 8800 GS,G92,"Jan 31st, 2008",PCIe 2.0 x16,"384 MB, GDDR3, 192 bit",550 MHz,800 MHz,96 / 48 / 12,
GeForce 8800 GT Mac Edition,G92,"Feb 1st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16,
GeForce 9300 GE,G98S,"Jun 1st, 2008",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,400 MHz,8/4/2004,
GeForce 9300 SE,G98S,"Jun 1st, 2008",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,400 MHz,8/4/2004,
GeForce 9300 GS,G98S,"Jun 1st, 2008",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",567 MHz,333 MHz,8/4/2004,
GeForce 9400 GT PCI,G96C,"Aug 27th, 2008",PCI,"256 MB, DDR2, 128 bit",550 MHz,400 MHz,16 / 8 / 4,
GeForce 9400 GT,G96C,"Aug 27th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",550 MHz,400 MHz,16 / 8 / 4,
GeForce 9400 GT,G86S,"Aug 1st, 2008",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",459 MHz,600 MHz,16 / 8 / 4,
GeForce 9400 GT Rev. 2,G96C,"Aug 27th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,400 MHz,16 / 8 / 4,
GeForce 9500 GS,G96,"Jul 29th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",550 MHz,504 MHz,32 / 16 / 8,
GeForce 9500 GS Rev. 2,G96C,"Jul 29th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",500 MHz,500 MHz,32 / 16 / 8,
GeForce 9500 GT,G96,"Jul 29th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",600 MHz,1000 MHz,32 / 16 / 8,
GeForce 9500 GT Rev. 2,G96B,"Jul 29th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",600 MHz,900 MHz,32 / 16 / 8,
GeForce 9500 GT Rev. 3,G96C,"Jul 29th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,800 MHz,32 / 16 / 8,
GeForce 9600 GS OEM,G94,"Jul 29th, 2008",PCIe 2.0 x16,"768 MB, DDR2, 192 bit",500 MHz,1000 MHz,48 / 24 / 12,
GeForce 9600 GSO 512,G94,"Oct 23rd, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,900 MHz,48 / 24 / 16,
GeForce 9600 GT Green Edition,G94,"Feb 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,700 MHz,64 / 32 / 16,179
GeForce 9600 GT,G94,"Feb 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,900 MHz,64 / 32 / 16,179
